name,latex
Ring_(mathematics)_0,{\displaystyle \mathbb {Z} }
Ring_(mathematics)_1,{\displaystyle 0=\mathbb {Z} /1\mathbb {Z} }
Ring_(mathematics)_2,{\displaystyle \mathbb {Z} /1\mathbb {Z} }
Ring_(mathematics)_3,{\displaystyle \mathbb {Z} /p^{n}\mathbb {Z} }
Ring_(mathematics)_4,{\displaystyle \mathbb {Z} (p^{\infty })}
Ring_(mathematics)_5,{\displaystyle \mathbb {T} }
Ring_(mathematics)_6,{\displaystyle \mathbb {Z} }
Ring_(mathematics)_7,{\displaystyle \mathbb {Z} [1/p]}
Ring_(mathematics)_8,{\displaystyle \mathbb {R} }
Ring_(mathematics)_9,{\displaystyle \mathbb {Z} _{p}}
Ring_(mathematics)_10,{\displaystyle \mathbb {Q} _{p}}
Ring_(mathematics)_11,{\displaystyle \mathbb {T} _{p}}
Ring_(mathematics)_12,"{\displaystyle \mathbb {Z} ,}"
Ring_(mathematics)_13,"{\displaystyle \dots ,-5,-4,-3,-2,-1,0,1,2,3,4,5,\dots }"
Ring_(mathematics)_14,"{\displaystyle \mathbb {Z} /4\mathbb {Z} =\left\{{\overline {0}},{\overline {1}},{\overline {2}},{\overline {3}}\right\}}"
Ring_(mathematics)_15,{\displaystyle {\overline {x}}+{\overline {y}}}
Ring_(mathematics)_16,{\displaystyle \mathbb {Z} /4\mathbb {Z} }
Ring_(mathematics)_17,{\displaystyle {\overline {2}}+{\overline {3}}={\overline {1}}}
Ring_(mathematics)_18,{\displaystyle {\overline {3}}+{\overline {3}}={\overline {2}}.}
Ring_(mathematics)_19,{\displaystyle {\overline {x}}\cdot {\overline {y}}}
Ring_(mathematics)_20,{\displaystyle \mathbb {Z} /4\mathbb {Z} }
Ring_(mathematics)_21,{\displaystyle {\overline {2}}\cdot {\overline {3}}={\overline {2}}}
Ring_(mathematics)_22,{\displaystyle {\overline {3}}\cdot {\overline {3}}={\overline {1}}.}
Ring_(mathematics)_23,{\displaystyle \mathbb {Z} /4\mathbb {Z} }
Ring_(mathematics)_24,{\displaystyle \mathbb {Z} .}
Ring_(mathematics)_25,"{\displaystyle \mathbb {Z} /4\mathbb {Z} ,}"
Ring_(mathematics)_26,"{\displaystyle {\overline {x}},}"
Ring_(mathematics)_27,{\displaystyle {\overline {x}}}
Ring_(mathematics)_28,{\displaystyle \mathbb {Z} /4\mathbb {Z} }
Ring_(mathematics)_29,{\displaystyle -{\overline {x}}={\overline {-x}}.}
Ring_(mathematics)_30,{\displaystyle -{\overline {3}}={\overline {-3}}={\overline {1}}.}
Ring_(mathematics)_31,"{\displaystyle \operatorname {M} _{2}(F)=\left\{\left.{\begin{pmatrix}a&b\\c&d\end{pmatrix}}\right|\ a,b,c,d\in F\right\}.}"
Ring_(mathematics)_32,{\displaystyle \operatorname {M} _{2}(F)}
Ring_(mathematics)_33,{\displaystyle \left({\begin{smallmatrix}1&0\\0&1\end{smallmatrix}}\right)}
Ring_(mathematics)_34,{\displaystyle A=\left({\begin{smallmatrix}0&1\\1&0\end{smallmatrix}}\right)}
Ring_(mathematics)_35,"{\displaystyle B=\left({\begin{smallmatrix}0&1\\0&0\end{smallmatrix}}\right),}"
Ring_(mathematics)_36,{\displaystyle AB=\left({\begin{smallmatrix}0&0\\0&1\end{smallmatrix}}\right)}
Ring_(mathematics)_37,{\displaystyle BA=\left({\begin{smallmatrix}1&0\\0&0\end{smallmatrix}}\right);}
Ring_(mathematics)_38,"{\displaystyle {\begin{aligned}a^{3}&=4a-1,\\a^{4}&=4a^{2}-a,\\a^{5}&=-a^{2}+16a-4,\\a^{6}&=16a^{2}-8a+1,\\a^{7}&=-8a^{2}+65a-16,\\\vdots \ &\qquad \vdots \end{aligned}}}"
Ring_(mathematics)_39,"{\displaystyle R[[X_{1},\dots ,X_{n}]]}"
Ring_(mathematics)_40,{\displaystyle \mathbb {R} }
Ring_(mathematics)_41,{\displaystyle \mathbb {Z} }
Ring_(mathematics)_42,{\displaystyle \mathbb {Q} .}
Ring_(mathematics)_43,"{\displaystyle {\widehat {\mathbb {Z} }},}"
Ring_(mathematics)_44,{\displaystyle \mathbb {Z} _{p}}
Ring_(mathematics)_45,{\displaystyle \mathbb {N} }
Ring_(mathematics)_46,"{\displaystyle (\mathbb {N} ,+)}"
Ring_(mathematics)_47,{\displaystyle \mathbb {Z} .}
Ring_(mathematics)_48,"{\displaystyle (f*g)(x)=\int _{-\infty }^{\infty }f(y)g(x-y)\,dy.}"
Ring_(mathematics)_49,"{\displaystyle (a_{1},\dots ,a_{n})}"
Ring_(mathematics)_50,{\displaystyle P_{n}=\prod _{i=1}^{n}a_{i}}
Ring_(mathematics)_51,{\displaystyle e}
Ring_(mathematics)_52,{\displaystyle \mathbb {Z} }
Ring_(mathematics)_53,{\displaystyle \mathbb {Z} [X]}
Ring_(mathematics)_54,{\displaystyle \mathbb {Z} }
Ring_(mathematics)_55,{\displaystyle 2\mathbb {Z} }
Ring_(mathematics)_56,{\displaystyle \mathbb {Z} ;}
Ring_(mathematics)_57,{\displaystyle 2\mathbb {Z} }
Ring_(mathematics)_58,"{\displaystyle r_{1}x_{1}+\cdots +r_{n}x_{n}\quad {\textrm {such}}\;{\textrm {that}}\;r_{i}\in R\;{\textrm {and}}\;x_{i}\in I,}"
Ring_(mathematics)_59,"{\displaystyle x,y\in R}"
Ring_(mathematics)_60,{\displaystyle xy\in P}
Ring_(mathematics)_61,{\displaystyle x\in P}
Ring_(mathematics)_62,{\displaystyle y\in P.}
Ring_(mathematics)_63,{\displaystyle {\begin{aligned}&f(a+b)=f(a)\ddagger f(b)\\&f(a\cdot b)=f(a)*f(b)\\&f(1_{R})=1_{S}\end{aligned}}}
Ring_(mathematics)_64,{\displaystyle R\simeq S.}
Ring_(mathematics)_65,{\displaystyle \mathbb {Z} }
Ring_(mathematics)_66,{\displaystyle \mathbb {Z} /4\mathbb {Z} }
Ring_(mathematics)_67,"{\displaystyle R\to R,x\mapsto uxu^{-1}}"
Ring_(mathematics)_68,{\displaystyle \mathbb {Z} \mapsto R}
Ring_(mathematics)_69,{\displaystyle \mathbb {Z} \to \mathbb {Q} }
Ring_(mathematics)_70,"{\displaystyle {\begin{aligned}&(a+I)+(b+I)=(a+b)+I,\\&(a+I)(b+I)=(ab)+I.\end{aligned}}}"
Ring_(mathematics)_71,{\displaystyle {\overline {f}}:R/I\to S}
Ring_(mathematics)_72,{\displaystyle f={\overline {f}}\circ p.}
Ring_(mathematics)_73,{\displaystyle {\overline {f}}:R/\ker f\to S}
Ring_(mathematics)_74,{\displaystyle {\begin{aligned}&a(x+y)=ax+ay\\&(a+b)x=ax+bx\\&1x=x\\&(ab)x=a(bx)\end{aligned}}}
Ring_(mathematics)_75,"{\displaystyle {\begin{aligned}&(r_{1},s_{1})+(r_{2},s_{2})=(r_{1}+r_{2},s_{1}+s_{2})\\&(r_{1},s_{1})\cdot (r_{2},s_{2})=(r_{1}\cdot r_{2},s_{1}\cdot s_{2})\end{aligned}}}"
Ring_(mathematics)_77,"{\displaystyle {\mathfrak {a}}_{1},\cdots ,{\mathfrak {a}}_{n}}"
