name,latex
Schr%C3%B6dinger_equation_0,{\displaystyle i\hbar {\frac {d}{dt}}|\Psi \rangle ={\hat {H}}|\Psi \rangle }
Schr%C3%B6dinger_equation_1,{\displaystyle {\hat {H}}|\psi _{n}(t)\rangle =i\hbar {\frac {d}{dt}}|\psi _{n}(t)\rangle }
Schr%C3%B6dinger_equation_2,{\displaystyle G_{\mu \nu }+\Lambda g_{\mu \nu }={\kappa }T_{\mu \nu }}
Schr%C3%B6dinger_equation_3,"{\displaystyle i\hbar {\frac {\partial }{\partial t}}\Psi (x,t)=\left[-{\frac {\hbar ^{2}}{2m}}{\frac {\partial ^{2}}{\partial x^{2}}}+V(x,t)\right]\Psi (x,t).}"
Schr%C3%B6dinger_equation_4,"{\displaystyle \Psi (x,t)}"
Schr%C3%B6dinger_equation_5,{\displaystyle x}
Schr%C3%B6dinger_equation_6,{\displaystyle t}
Schr%C3%B6dinger_equation_7,{\displaystyle m}
Schr%C3%B6dinger_equation_8,"{\displaystyle V(x,t)}"
Schr%C3%B6dinger_equation_9,{\displaystyle i}
Schr%C3%B6dinger_equation_10,{\displaystyle \hbar }
Schr%C3%B6dinger_equation_11,{\displaystyle |\psi \rangle }
Schr%C3%B6dinger_equation_12,{\displaystyle {\mathcal {H}}}
Schr%C3%B6dinger_equation_13,{\displaystyle \langle \psi |\psi \rangle =1}
Schr%C3%B6dinger_equation_14,{\displaystyle L^{2}(\mathbb {C} )}
Schr%C3%B6dinger_equation_15,{\displaystyle \mathbb {C} ^{2}}
Schr%C3%B6dinger_equation_16,{\displaystyle \lambda }
Schr%C3%B6dinger_equation_17,{\displaystyle |\langle \lambda |\psi \rangle |^{2}}
Schr%C3%B6dinger_equation_18,{\displaystyle |\lambda \rangle }
Schr%C3%B6dinger_equation_19,{\displaystyle \langle \psi |P_{\lambda }|\psi \rangle }
Schr%C3%B6dinger_equation_20,{\displaystyle P_{\lambda }}
Schr%C3%B6dinger_equation_21,"{\displaystyle \Psi (x,t)}"
Schr%C3%B6dinger_equation_22,{\displaystyle |\Psi (t)\rangle }
Schr%C3%B6dinger_equation_23,{\displaystyle |x\rangle }
Schr%C3%B6dinger_equation_24,"{\displaystyle \Psi (x,t)=\langle x|\Psi (t)\rangle .}"
Schr%C3%B6dinger_equation_25,{\displaystyle i\hbar {\frac {d}{dt}}\vert \Psi (t)\rangle ={\hat {H}}\vert \Psi (t)\rangle }
Schr%C3%B6dinger_equation_26,{\displaystyle t}
Schr%C3%B6dinger_equation_27,{\displaystyle \vert \Psi (t)\rangle }
Schr%C3%B6dinger_equation_28,{\displaystyle \Psi }
Schr%C3%B6dinger_equation_29,{\displaystyle {\hat {H}}}
Schr%C3%B6dinger_equation_30,"{\displaystyle \Psi (x,t)}"
Schr%C3%B6dinger_equation_31,"{\displaystyle \Pr(x,t)=|\Psi (x,t)|^{2}.}"
Schr%C3%B6dinger_equation_32,{\displaystyle \operatorname {\hat {H}} |\Psi \rangle =E|\Psi \rangle }
Schr%C3%B6dinger_equation_33,{\displaystyle E}
