name,latex
Solid_of_revolution_0,"{\displaystyle V=\pi \int _{a}^{b}\left|f(y)^{2}-g(y)^{2}\right|\,dy\,.}"
Solid_of_revolution_1,"{\displaystyle V=\pi \int _{a}^{b}f(y)^{2}\,dy\,.}"
Solid_of_revolution_2,"{\displaystyle V=\iiint _{D}dV=\int _{a}^{b}\int _{g(z)}^{f(z)}\int _{0}^{2\pi }r\,d\theta \,dr\,dz=2\pi \int _{a}^{b}\int _{g(z)}^{f(z)}r\,dr\,dz=2\pi \int _{a}^{b}{\frac {1}{2}}r^{2}\Vert _{g(z)}^{f(z)}\,dz=\pi \int _{a}^{b}(f(z)^{2}-g(z)^{2})\,dz}"
Solid_of_revolution_3,"{\displaystyle V=2\pi \int _{a}^{b}x|f(x)-g(x)|\,dx\,.}"
Solid_of_revolution_4,"{\displaystyle V=2\pi \int _{a}^{b}x|f(x)|\,dx\,.}"
Solid_of_revolution_5,"{\displaystyle V=\iiint _{D}dV=\int _{a}^{b}\int _{g(r)}^{f(r)}\int _{0}^{2\pi }r\,d\theta \,dz\,dr=2\pi \int _{a}^{b}\int _{g(r)}^{f(r)}r\,dz\,dr=2\pi \int _{a}^{b}r(f(r)-g(r))\,dr.}"
Solid_of_revolution_6,"{\displaystyle {\begin{aligned}V_{x}&=\int _{a}^{b}\pi y^{2}\,{\frac {dx}{dt}}\,dt\,,\\V_{y}&=\int _{a}^{b}\pi x^{2}\,{\frac {dy}{dt}}\,dt\,.\end{aligned}}}"
Solid_of_revolution_7,"{\displaystyle {\begin{aligned}A_{x}&=\int _{a}^{b}2\pi y\,{\sqrt {\left({\frac {dx}{dt}}\right)^{2}+\left({\frac {dy}{dt}}\right)^{2}}}\,dt\,,\\A_{y}&=\int _{a}^{b}2\pi x\,{\sqrt {\left({\frac {dx}{dt}}\right)^{2}+\left({\frac {dy}{dt}}\right)^{2}}}\,dt\,.\end{aligned}}}"
Solid_of_revolution_8,"{\displaystyle \langle x(t),y(t)\rangle }"
Solid_of_revolution_9,"{\displaystyle \mathbf {r} (t,\theta )=\langle y(t)\cos(\theta ),y(t)\sin(\theta ),x(t)\rangle }"
Solid_of_revolution_10,{\displaystyle 0\leq \theta \leq 2\pi }
Solid_of_revolution_11,"{\displaystyle A_{x}=\iint _{S}dS=\iint _{[a,b]\times [0,2\pi ]}\left\|{\frac {\partial \mathbf {r} }{\partial t}}\times {\frac {\partial \mathbf {r} }{\partial \theta }}\right\|\ d\theta \ dt=\int _{a}^{b}\int _{0}^{2\pi }\left\|{\frac {\partial \mathbf {r} }{\partial t}}\times {\frac {\partial \mathbf {r} }{\partial \theta }}\right\|\ d\theta \ dt.}"
