name,latex
Squaring_the_circle_0,{\displaystyle \pi }
Squaring_the_circle_1,{\displaystyle \pi }
Squaring_the_circle_2,{\displaystyle \pi }
Squaring_the_circle_3,{\displaystyle \pi \approx {\tfrac {25}{8}}=3.125}
Squaring_the_circle_4,{\displaystyle \pi \approx {\tfrac {256}{81}}\approx 3.16}
Squaring_the_circle_5,{\displaystyle \pi \approx 3}
Squaring_the_circle_6,{\displaystyle \pi }
Squaring_the_circle_7,"{\displaystyle 3\,{\tfrac {10}{71}}\approx 3.141<\pi <3\,{\tfrac {1}{7}}\approx 3.143}"
Squaring_the_circle_8,{\displaystyle \pi \approx 355/113\approx 3.141593}
Squaring_the_circle_9,{\displaystyle \pi }
Squaring_the_circle_10,{\displaystyle \pi }
Squaring_the_circle_11,{\displaystyle {\sqrt {\pi }}}
Squaring_the_circle_12,{\displaystyle {\sqrt {\pi }}}
Squaring_the_circle_13,{\displaystyle \pi }
Squaring_the_circle_14,{\displaystyle \pi }
Squaring_the_circle_15,{\displaystyle \pi }
Squaring_the_circle_16,{\displaystyle e}
Squaring_the_circle_17,{\displaystyle e^{i\pi }=-1.}
Squaring_the_circle_18,{\displaystyle \pi }
Squaring_the_circle_19,{\displaystyle e}
Squaring_the_circle_20,{\displaystyle \pi }
Squaring_the_circle_21,{\displaystyle \pi }
Squaring_the_circle_22,{\displaystyle \pi }
Squaring_the_circle_23,{\displaystyle r}
Squaring_the_circle_24,{\displaystyle \pi }
Squaring_the_circle_25,{\displaystyle \pi }
Squaring_the_circle_27,{\displaystyle \pi }
Squaring_the_circle_29,{\displaystyle {\overline {AH}}={\frac {4^{2}}{7^{2}+8^{2}}}.}
Squaring_the_circle_31,{\displaystyle \varphi }
Squaring_the_circle_32,{\displaystyle \varphi =(1+{\sqrt {5}})/2}
Squaring_the_circle_33,{\displaystyle \pi }
Squaring_the_circle_35,{\displaystyle \pi }
Squaring_the_circle_36,{\displaystyle \pi }
Squaring_the_circle_37,{\displaystyle \pi }
