name,latex
Subgroup_0,{\displaystyle \mathbb {Z} }
Subgroup_1,{\displaystyle \mathbb {Z} }
Subgroup_2,{\displaystyle \mathbb {Z} }
Subgroup_3,{\displaystyle \mathbb {R} ^{2}}
Subgroup_4,{\displaystyle 2\mathbb {Z} \cup 3\mathbb {Z} }
Subgroup_5,"{\displaystyle \mathbb {Z} ,}"
Subgroup_6,{\displaystyle \mathbb {R} ^{2}}
Subgroup_7,{\displaystyle \mathbb {R} ^{2}.}
Subgroup_8,{\displaystyle \mathbb {Z} /n\mathbb {Z} }
Subgroup_9,"{\displaystyle \mathbb {Z} ,}"
Subgroup_10,"{\displaystyle \mathbb {Z} /8\mathbb {Z} ,}"
Subgroup_11,{\displaystyle \mathbb {Z} /2\mathbb {Z} .}
Subgroup_12,{\displaystyle a_{1}^{-1}a_{2}}
Subgroup_13,{\displaystyle [G:H]={|G| \over |H|}}
Subgroup_14,"{\displaystyle G=\left\{0,4,2,6,1,5,3,7\right\}}"
Subgroup_15,{\displaystyle 2\mathbb {Z} }
Subgroup_16,{\displaystyle \mathbb {Z} :}
