name,latex
Summation_0,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\text{term}}\,+\,{\text{term}}\\\scriptstyle {\text{summand}}\,+\,{\text{summand}}\\\scriptstyle {\text{addend}}\,+\,{\text{addend}}\\\scriptstyle {\text{augend}}\,+\,{\text{addend}}\end{matrix}}\right\}\,=\,}"
Summation_1,{\displaystyle \scriptstyle {\text{sum}}}
Summation_2,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\text{term}}\,-\,{\text{term}}\\\scriptstyle {\text{minuend}}\,-\,{\text{subtrahend}}\end{matrix}}\right\}\,=\,}"
Summation_3,{\displaystyle \scriptstyle {\text{difference}}}
Summation_4,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\text{factor}}\,\times \,{\text{factor}}\\\scriptstyle {\text{multiplier}}\,\times \,{\text{multiplicand}}\end{matrix}}\right\}\,=\,}"
Summation_5,{\displaystyle \scriptstyle {\text{product}}}
Summation_6,"{\displaystyle \scriptstyle \left.{\begin{matrix}\scriptstyle {\frac {\scriptstyle {\text{dividend}}}{\scriptstyle {\text{divisor}}}}\\[1ex]\scriptstyle {\frac {\scriptstyle {\text{numerator}}}{\scriptstyle {\text{denominator}}}}\end{matrix}}\right\}\,=\,}"
Summation_7,{\displaystyle \scriptstyle \left\{{\begin{matrix}\scriptstyle {\text{fraction}}\\\scriptstyle {\text{quotient}}\\\scriptstyle {\text{ratio}}\end{matrix}}\right.}
Summation_8,"{\displaystyle \scriptstyle {\text{base}}^{\text{exponent}}\,=\,}"
Summation_9,{\displaystyle \scriptstyle {\text{power}}}
Summation_10,"{\displaystyle \scriptstyle {\sqrt[{\text{degree}}]{\scriptstyle {\text{radicand}}}}\,=\,}"
Summation_11,{\displaystyle \scriptstyle {\text{root}}}
Summation_12,"{\displaystyle \scriptstyle \log _{\text{base}}({\text{anti-logarithm}})\,=\,}"
Summation_13,{\displaystyle \scriptstyle {\text{logarithm}}}
Summation_16,{\displaystyle \sum _{i=1}^{n}i={\frac {n(n+1)}{2}}.}
Summation_18,{\displaystyle \sum _{i\mathop {=} m}^{n}a_{i}=a_{m}+a_{m+1}+a_{m+2}+\cdots +a_{n-1}+a_{n}}
Summation_19,{\displaystyle \sum _{i=3}^{6}i^{2}=3^{2}+4^{2}+5^{2}+6^{2}=86.}
Summation_20,{\displaystyle i}
Summation_21,{\displaystyle j}
Summation_22,{\displaystyle k}
Summation_23,{\displaystyle n}
Summation_24,{\displaystyle \sum a_{i}^{2}=\sum _{i=1}^{n}a_{i}^{2}.}
Summation_25,{\displaystyle \sum _{0\leq k<100}f(k)}
Summation_27,{\displaystyle f(k)}
Summation_28,{\displaystyle k}
Summation_29,{\displaystyle \sum _{x\mathop {\in } S}f(x)}
Summation_30,{\displaystyle f(x)}
Summation_31,{\displaystyle x}
Summation_32,{\displaystyle S}
Summation_33,"{\displaystyle \sum _{d\,|\,n}\;\mu (d)}"
Summation_34,{\displaystyle \mu (d)}
Summation_35,{\displaystyle d}
Summation_36,{\displaystyle n}
Summation_37,"{\displaystyle \sum _{i,j}}"
Summation_38,{\displaystyle \sum _{i}\sum _{j}.}
Summation_41,{\displaystyle x}
Summation_42,{\displaystyle x}
Summation_43,{\displaystyle n=m}
Summation_44,{\displaystyle n=m-1}
Summation_45,{\displaystyle \sum _{i=a}^{b}g(i)=0}
Summation_46,{\displaystyle b<a}
Summation_47,{\displaystyle \sum _{i=a}^{b}g(i)=g(b)+\sum _{i=a}^{b-1}g(i)}
Summation_49,"{\displaystyle \sum _{k\mathop {=} a}^{b}f(k)=\int _{[a,b]}f\,d\mu }"
Summation_50,"{\displaystyle [a,b]}"
Summation_51,{\displaystyle a}
