name,latex
Transcendental_number_0,{\displaystyle \varphi }
Transcendental_number_1,{\displaystyle \phi }
Transcendental_number_2,{\displaystyle {\begin{aligned}L_{b}&=\sum _{n=1}^{\infty }10^{-n!}\\[2pt]&=10^{-1}+10^{-2}+10^{-6}+10^{-24}+10^{-120}+10^{-720}+10^{-5040}+10^{-40320}+\ldots \\[4pt]&=0.{\textbf {1}}{\textbf {1}}000{\textbf {1}}00000000000000000{\textbf {1}}00000000000000000000000000000000000000000000000000000\ \ldots \end{aligned}}}
Transcendental_number_3,{\displaystyle 5\pi }
Transcendental_number_4,{\displaystyle {\tfrac {\pi -3}{\sqrt {2}}}}
Transcendental_number_5,{\displaystyle ({\sqrt {\pi }}-{\sqrt {3}})^{8}}
Transcendental_number_6,{\displaystyle {\sqrt[{4}]{\pi ^{5}+7}}}
Transcendental_number_7,{\displaystyle 2^{\sqrt {2}}}
Transcendental_number_8,{\displaystyle {\tfrac {J'_{\nu }(x)}{J_{\nu }(x)}}}
Transcendental_number_9,{\displaystyle a\neq 0}
Transcendental_number_10,{\displaystyle \operatorname {\Gamma } \left({\tfrac {1}{3}}\right)\ }
Transcendental_number_11,{\displaystyle \operatorname {\Gamma } \left({\tfrac {1}{4}}\right)\ }
Transcendental_number_12,{\displaystyle \operatorname {\Gamma } \left({\tfrac {1}{6}}\right)\ }
Transcendental_number_13,"{\displaystyle \ \operatorname {\Gamma } \left({\tfrac {2}{3}}\right)\ ,}"
Transcendental_number_14,"{\displaystyle \ \operatorname {\Gamma } \left({\tfrac {3}{4}}\right)\ ,}"
Transcendental_number_15,{\displaystyle \ \operatorname {\Gamma } \left({\tfrac {5}{6}}\right)\ }
Transcendental_number_16,{\displaystyle \ {\tfrac {1}{\pi }}\operatorname {\Gamma } \left({\tfrac {1}{4}}\right)^{4}\ }
Transcendental_number_17,{\displaystyle \ {\tfrac {1}{\pi }}\operatorname {\Gamma } \left({\tfrac {1}{3}}\right)^{2}\ }
Transcendental_number_18,"{\displaystyle \mathrm {B} (a,b)}"
Transcendental_number_19,{\displaystyle a+b}
Transcendental_number_20,{\displaystyle \pi +\ln(2)+{\sqrt {2}}\ln(3)}
Transcendental_number_21,{\displaystyle \pi +\beta _{1}\ln(a_{1})+\cdots +\beta _{n}\ln(a_{n})}
Transcendental_number_22,{\displaystyle \beta _{j}}
