name,latex
Utility_functions_on_indivisible_goods_0,{\displaystyle \succ }
Utility_functions_on_indivisible_goods_1,{\displaystyle A}
Utility_functions_on_indivisible_goods_2,{\displaystyle B}
Utility_functions_on_indivisible_goods_3,{\displaystyle A\succ B}
Utility_functions_on_indivisible_goods_4,{\displaystyle A}
Utility_functions_on_indivisible_goods_5,{\displaystyle A}
Utility_functions_on_indivisible_goods_6,{\displaystyle A}
Utility_functions_on_indivisible_goods_7,{\displaystyle B}
Utility_functions_on_indivisible_goods_8,{\displaystyle A\succeq B}
Utility_functions_on_indivisible_goods_9,{\displaystyle u}
Utility_functions_on_indivisible_goods_10,{\displaystyle A}
Utility_functions_on_indivisible_goods_11,{\displaystyle u(A)}
Utility_functions_on_indivisible_goods_12,{\displaystyle u(\emptyset )=0}
Utility_functions_on_indivisible_goods_13,{\displaystyle \emptyset }
Utility_functions_on_indivisible_goods_14,{\displaystyle u(A)>u(B)}
Utility_functions_on_indivisible_goods_15,{\displaystyle A\succ B}
Utility_functions_on_indivisible_goods_16,{\displaystyle u(A)\geq u(B)}
Utility_functions_on_indivisible_goods_17,{\displaystyle A\succeq B}
Utility_functions_on_indivisible_goods_18,{\displaystyle A\supseteq B}
Utility_functions_on_indivisible_goods_19,{\displaystyle A\succeq B}
Utility_functions_on_indivisible_goods_20,{\displaystyle A\supseteq B}
Utility_functions_on_indivisible_goods_21,{\displaystyle u(A)\geq u(B)}
Utility_functions_on_indivisible_goods_22,{\displaystyle A}
Utility_functions_on_indivisible_goods_23,{\displaystyle u(A)}
Utility_functions_on_indivisible_goods_24,{\displaystyle \emptyset }
Utility_functions_on_indivisible_goods_25,{\displaystyle A}
Utility_functions_on_indivisible_goods_26,{\displaystyle u(A)=\sum _{x\in A}u({x})}
Utility_functions_on_indivisible_goods_27,{\displaystyle u(\emptyset )=0}
Utility_functions_on_indivisible_goods_28,{\displaystyle u}
Utility_functions_on_indivisible_goods_29,{\displaystyle A}
Utility_functions_on_indivisible_goods_30,{\displaystyle B}
Utility_functions_on_indivisible_goods_31,{\displaystyle u(A)+u(B)=u(A\cup B)+u(A\cap B).}
Utility_functions_on_indivisible_goods_32,{\displaystyle A}
Utility_functions_on_indivisible_goods_33,{\displaystyle u(A)}
Utility_functions_on_indivisible_goods_34,{\displaystyle \emptyset }
Utility_functions_on_indivisible_goods_35,{\displaystyle A}
Utility_functions_on_indivisible_goods_36,{\displaystyle B}
Utility_functions_on_indivisible_goods_37,{\displaystyle u(A)+u(B)\geq u(A\cup B)+u(A\cap B)}
Utility_functions_on_indivisible_goods_38,{\displaystyle u}
Utility_functions_on_indivisible_goods_39,{\displaystyle A}
Utility_functions_on_indivisible_goods_40,{\displaystyle B}
Utility_functions_on_indivisible_goods_41,{\displaystyle A\subseteq B}
Utility_functions_on_indivisible_goods_42,{\displaystyle x\notin B}
Utility_functions_on_indivisible_goods_43,{\displaystyle u(A\cup \{x\})-u(A)\geq u(B\cup \{x\})-u(B)}
Utility_functions_on_indivisible_goods_44,{\displaystyle A}
Utility_functions_on_indivisible_goods_45,{\displaystyle u(A)}
Utility_functions_on_indivisible_goods_46,{\displaystyle \emptyset }
Utility_functions_on_indivisible_goods_47,{\displaystyle A}
Utility_functions_on_indivisible_goods_48,{\displaystyle B}
Utility_functions_on_indivisible_goods_49,{\displaystyle u(A)+u(B)\leq u(A\cup B)+u(A\cap B)}
Utility_functions_on_indivisible_goods_50,{\displaystyle u}
Utility_functions_on_indivisible_goods_51,{\displaystyle A}
Utility_functions_on_indivisible_goods_52,{\displaystyle B}
