name,latex
Vector_(geometric)_1,"{\displaystyle {\stackrel {\,\longrightarrow }{AB}}}"
Vector_(geometric)_2,"{\displaystyle {\stackrel {\,\longrightarrow }{A'B'}}}"
Vector_(geometric)_3,{\displaystyle {\overrightarrow {AB}}.}
Vector_(geometric)_4,"{\displaystyle {\overrightarrow {E}},}"
Vector_(geometric)_5,"{\displaystyle {\overrightarrow {E}},}"
Vector_(geometric)_6,{\displaystyle {\overrightarrow {E}}}
Vector_(geometric)_7,{\displaystyle \mathbb {R} ^{n}}
Vector_(geometric)_8,{\displaystyle \mathbb {R} ^{n}}
Vector_(geometric)_9,{\displaystyle \mathbb {R} ^{n}}
Vector_(geometric)_10,{\displaystyle \mathbb {R} ^{n}.}
Vector_(geometric)_11,{\displaystyle {\overrightarrow {OP}}.}
Vector_(geometric)_12,"{\displaystyle \mathbb {R} ^{n},}"
Vector_(geometric)_13,{\displaystyle {\overrightarrow {AB}}}
Vector_(geometric)_14,"{\displaystyle (1,2,3)+(-2,0,4)=(1-2,2+0,3+4)=(-1,2,7)\,.}"
Vector_(geometric)_15,{\displaystyle \mathbf {u} }
Vector_(geometric)_16,{\displaystyle \mathbf {v} }
Vector_(geometric)_17,{\displaystyle \mathbf {w} }
Vector_(geometric)_18,{\displaystyle {\vec {a}}}
Vector_(geometric)_19,{\displaystyle {\underset {^{\sim }}{a}}}
Vector_(geometric)_20,{\displaystyle {\stackrel {\longrightarrow }{AB}}}
Vector_(geometric)_21,{\displaystyle {\mathfrak {a}}}
Vector_(geometric)_22,"{\displaystyle \mathbf {a} =(2,3).}"
Vector_(geometric)_23,{\displaystyle {\overrightarrow {OA}}}
Vector_(geometric)_24,"{\displaystyle \mathbf {a} =(a_{1},a_{2},a_{3}).}"
Vector_(geometric)_25,"{\displaystyle \mathbf {a} =(a_{x},a_{y},a_{z}).}"
Vector_(geometric)_26,"{\displaystyle \mathbf {a} =(a_{1},a_{2},a_{3},\cdots ,a_{n-1},a_{n}).}"
Vector_(geometric)_27,{\displaystyle \mathbf {a} ={\begin{bmatrix}a_{1}\\a_{2}\\a_{3}\\\end{bmatrix}}=[a_{1}\ a_{2}\ a_{3}]^{\operatorname {T} }.}
Vector_(geometric)_28,"{\displaystyle {\mathbf {e} }_{1}=(1,0,0),\ {\mathbf {e} }_{2}=(0,1,0),\ {\mathbf {e} }_{3}=(0,0,1).}"
Vector_(geometric)_29,"{\displaystyle \mathbf {a} =(a_{1},a_{2},a_{3})=a_{1}(1,0,0)+a_{2}(0,1,0)+a_{3}(0,0,1),\ }"
Vector_(geometric)_30,"{\displaystyle \mathbf {a} =\mathbf {a} _{1}+\mathbf {a} _{2}+\mathbf {a} _{3}=a_{1}{\mathbf {e} }_{1}+a_{2}{\mathbf {e} }_{2}+a_{3}{\mathbf {e} }_{3},}"
Vector_(geometric)_31,"{\displaystyle \mathbf {i} ,\mathbf {j} ,\mathbf {k} }"
Vector_(geometric)_32,"{\displaystyle \mathbf {\hat {x}} ,\mathbf {\hat {y}} ,\mathbf {\hat {z}} }"
Vector_(geometric)_33,{\displaystyle \mathbf {\hat {}} }
Vector_(geometric)_34,{\displaystyle \mathbf {a} =\mathbf {a} _{x}+\mathbf {a} _{y}+\mathbf {a} _{z}=a_{x}{\mathbf {i} }+a_{y}{\mathbf {j} }+a_{z}{\mathbf {k} }.}
Vector_(geometric)_35,"{\displaystyle \mathbf {\hat {x}} ,\mathbf {\hat {y}} ,\mathbf {\hat {z}} }"
Vector_(geometric)_36,"{\displaystyle {\boldsymbol {\hat {\rho }}},{\boldsymbol {\hat {\phi }}},\mathbf {\hat {z}} }"
Vector_(geometric)_37,"{\displaystyle \mathbf {\hat {r}} ,{\boldsymbol {\hat {\theta }}},{\boldsymbol {\hat {\phi }}}}"
Vector_(geometric)_38,"{\displaystyle {\mathbf {e} }_{1}=(1,0,0),\ {\mathbf {e} }_{2}=(0,1,0),\ {\mathbf {e} }_{3}=(0,0,1)}"
Vector_(geometric)_39,{\displaystyle {\mathbf {a} }=a_{1}{\mathbf {e} }_{1}+a_{2}{\mathbf {e} }_{2}+a_{3}{\mathbf {e} }_{3}.}
Vector_(geometric)_40,{\displaystyle {\mathbf {a} }=a_{1}{\mathbf {e} }_{1}+a_{2}{\mathbf {e} }_{2}+a_{3}{\mathbf {e} }_{3}}
Vector_(geometric)_41,{\displaystyle {\mathbf {b} }=b_{1}{\mathbf {e} }_{1}+b_{2}{\mathbf {e} }_{2}+b_{3}{\mathbf {e} }_{3}}
Vector_(geometric)_42,"{\displaystyle a_{1}=b_{1},\quad a_{2}=b_{2},\quad a_{3}=b_{3}.\,}"
Vector_(geometric)_43,{\displaystyle {\mathbf {a} }=a_{1}{\mathbf {e} }_{1}+a_{2}{\mathbf {e} }_{2}+a_{3}{\mathbf {e} }_{3}}
Vector_(geometric)_44,{\displaystyle {\mathbf {b} }=b_{1}{\mathbf {e} }_{1}+b_{2}{\mathbf {e} }_{2}+b_{3}{\mathbf {e} }_{3}}
Vector_(geometric)_45,"{\displaystyle a_{1}=-b_{1},\quad a_{2}=-b_{2},\quad a_{3}=-b_{3}.\,}"
Vector_(geometric)_46,{\displaystyle \mathbf {a} +\mathbf {b} =(a_{1}+b_{1})\mathbf {e} _{1}+(a_{2}+b_{2})\mathbf {e} _{2}+(a_{3}+b_{3})\mathbf {e} _{3}.}
Vector_(geometric)_47,{\displaystyle \mathbf {a} -\mathbf {b} =(a_{1}-b_{1})\mathbf {e} _{1}+(a_{2}-b_{2})\mathbf {e} _{2}+(a_{3}-b_{3})\mathbf {e} _{3}.}
Vector_(geometric)_48,{\displaystyle r\mathbf {a} =(ra_{1})\mathbf {e} _{1}+(ra_{2})\mathbf {e} _{2}+(ra_{3})\mathbf {e} _{3}.}
Vector_(geometric)_49,"{\displaystyle \left\|\mathbf {a} \right\|={\sqrt {a_{1}^{2}+a_{2}^{2}+a_{3}^{2}}},}"
Vector_(geometric)_50,{\displaystyle \left\|\mathbf {a} \right\|={\sqrt {\mathbf {a} \cdot \mathbf {a} }}.}
Vector_(geometric)_51,{\displaystyle \mathbf {\hat {a}} ={\frac {\mathbf {a} }{\left\|\mathbf {a} \right\|}}={\frac {a_{1}}{\left\|\mathbf {a} \right\|}}\mathbf {e} _{1}+{\frac {a_{2}}{\left\|\mathbf {a} \right\|}}\mathbf {e} _{2}+{\frac {a_{3}}{\left\|\mathbf {a} \right\|}}\mathbf {e} _{3}}
Vector_(geometric)_52,{\displaystyle {\vec {0}}}
Vector_(geometric)_53,"{\displaystyle \mathbf {a} \cdot \mathbf {b} =\left\|\mathbf {a} \right\|\left\|\mathbf {b} \right\|\cos \theta ,}"
Vector_(geometric)_54,{\displaystyle \mathbf {a} \cdot \mathbf {b} =a_{1}b_{1}+a_{2}b_{2}+a_{3}b_{3}.}
Vector_(geometric)_55,"{\displaystyle \mathbf {a} \times \mathbf {b} =\left\|\mathbf {a} \right\|\left\|\mathbf {b} \right\|\sin(\theta )\,\mathbf {n} }"
Vector_(geometric)_56,{\displaystyle {\mathbf {a} }\times {\mathbf {b} }=(a_{2}b_{3}-a_{3}b_{2}){\mathbf {e} }_{1}+(a_{3}b_{1}-a_{1}b_{3}){\mathbf {e} }_{2}+(a_{1}b_{2}-a_{2}b_{1}){\mathbf {e} }_{3}.}
Vector_(geometric)_57,{\displaystyle (\mathbf {a} \ \mathbf {b} \ \mathbf {c} )=\mathbf {a} \cdot (\mathbf {b} \times \mathbf {c} ).}
Vector_(geometric)_58,{\displaystyle (\mathbf {a} \ \mathbf {b} \ \mathbf {c} )={\begin{vmatrix}a_{1}&a_{2}&a_{3}\\b_{1}&b_{2}&b_{3}\\c_{1}&c_{2}&c_{3}\\\end{vmatrix}}}
Vector_(geometric)_59,{\displaystyle (\mathbf {a} \ \mathbf {b} \ \mathbf {c} )=(\mathbf {c} \ \mathbf {a} \ \mathbf {b} )=(\mathbf {b} \ \mathbf {c} \ \mathbf {a} )=-(\mathbf {a} \ \mathbf {c} \ \mathbf {b} )=-(\mathbf {b} \ \mathbf {a} \ \mathbf {c} )=-(\mathbf {c} \ \mathbf {b} \ \mathbf {a} ).}
