name,latex
Vector_space_0,{\displaystyle \mathbf {v} -\mathbf {w} =\mathbf {v} +(-\mathbf {w} ).}
Vector_space_1,{\displaystyle s\in F}
Vector_space_2,"{\displaystyle \mathbf {v} \in V,}"
Vector_space_3,"{\displaystyle 0\mathbf {v} =\mathbf {0} ,}"
Vector_space_4,"{\displaystyle s\mathbf {0} =\mathbf {0} ,}"
Vector_space_5,"{\displaystyle (-1)\mathbf {v} =-\mathbf {v} ,}"
Vector_space_6,{\displaystyle s\mathbf {v} =\mathbf {0} }
Vector_space_7,{\displaystyle s=0}
Vector_space_8,{\displaystyle \mathbf {v} =\mathbf {0} .}
Vector_space_9,"{\displaystyle a_{1}\mathbf {g} _{1}+a_{2}\mathbf {g} _{2}+\cdots +a_{k}\mathbf {g} _{k},}"
Vector_space_10,"{\displaystyle a_{1},\ldots ,a_{k}\in F}"
Vector_space_11,"{\displaystyle \mathbf {g} _{1},\ldots ,\mathbf {g} _{k}\in G.}"
Vector_space_12,"{\displaystyle a_{1},\ldots ,a_{k}}"
Vector_space_13,"{\displaystyle (\mathbf {b} _{1},\mathbf {b} _{2},\ldots ,\mathbf {b} _{n})}"
Vector_space_14,{\displaystyle \mathbf {v} \in V}
Vector_space_15,"{\displaystyle \mathbf {v} =a_{1}\mathbf {b} _{1}+\cdots +a_{n}\mathbf {b} _{n},}"
Vector_space_16,"{\displaystyle a_{1},\dots ,a_{n}}"
Vector_space_17,"{\displaystyle a_{1},\ldots ,a_{n}}"
Vector_space_18,{\displaystyle F^{n}}
Vector_space_19,"{\displaystyle {\begin{aligned}(x_{1},y_{1})+(x_{2},y_{2})&=(x_{1}+x_{2},y_{1}+y_{2}),\\a(x,y)&=(ax,ay).\end{aligned}}}"
Vector_space_20,"{\displaystyle (a_{1},a_{2},\dots ,a_{n})}"
Vector_space_21,{\displaystyle \mathbf {Q} (i{\sqrt {5}})}
Vector_space_22,{\displaystyle \sin +\exp :\mathbb {R} \to \mathbb {R} }
Vector_space_23,{\displaystyle (\sin +\exp )(x)=\sin(x)+\exp(x)}
Vector_space_24,{\displaystyle (f+g)}
Vector_space_25,"{\displaystyle (f+g)(w)=f(w)+g(w),}"
